Profile Name,Sent Utc Ts,Message Name,Channel,Country Iso Code,Account Locale,Email Locale,Title Name,Email Domain Name,Link Url,Click Utc Ts,Device Model,Click Cnt
Jane,2019-02-12 12:29:13,INAPP_WHAT_TO_WATCH,NOTIFICATIONS,GB,,,ReMastered: The Two Killings of Sam Cooke,GMAIL.COM,,,,0
Jane,2019-02-12 11:00:49,EMAIL_WHAT_TO_WATCH_TOP_PICKS,EMAIL,GB,en-GB,en-GB,ReMastered: The Two Killings of Sam Cooke,GMAIL.COM,,,,0
Jane,2019-02-10 17:59:11,NEW_DEVICE_LOGIN,EMAIL,GB,en-GB,en-GB,,GMAIL.COM,,,,0
Jane,2019-02-08 13:45:04,PUSH_WHAT_TO_WATCH_TOP_PICKS,PUSH,GB,en-GB,en-GB,Nightflyers,GMAIL.COM,,,APPLE_iPad4-1,0
Jane,2019-02-08 13:45:03,INAPP_WHAT_TO_WATCH,NOTIFICATIONS,GB,,,Nightflyers,GMAIL.COM,,,,0
Jane,2019-02-08 13:32:23,PUSH_NEW_ARRIVALS,PUSH,GB,en-GB,en-GB,ReMastered: The Two Killings of Sam Cooke,GMAIL.COM,,,APPLE_iPad4-1,0
Jane,2019-02-08 13:27:09,INAPP_NEW_ARRIVALS,NOTIFICATIONS,GB,,,ReMastered: The Two Killings of Sam Cooke,GMAIL.COM,,,,0
Jane,2019-02-08 10:58:34,EMAIL_WHAT_TO_WATCH_TOP_PICKS,EMAIL,GB,en-GB,en-GB,Nightflyers,GMAIL.COM,,,,0
Jane,2019-02-08 10:39:05,EMAIL_NEW_ARRIVALS,EMAIL,GB,en-GB,en-GB,ReMastered: The Two Killings of Sam Cooke,GMAIL.COM,,,,0
Jane,2019-02-03 14:27:25,INAPP_WHAT_TO_WATCH_MOVIE_NIGHT,NOTIFICATIONS,GB,,,Split,GMAIL.COM,,,APPLE_iPhone8-4,0
Jane,2019-02-03 14:27:25,EMAIL_WHAT_TO_WATCH_MOVIE_NIGHT,EMAIL,GB,en-GB,en-GB,Split,GMAIL.COM,,,,0
Jane,2019-02-03 14:27:25,PUSH_WHAT_TO_WATCH_MOVIE_NIGHT,PUSH,GB,en-GB,en-GB,Split,GMAIL.COM,,,APPLE_iPad4-1,0
