Profile Name,Sent Utc Ts,Message Name,Channel,Country Iso Code,Account Locale,Email Locale,Title Name,Email Domain Name,Link Url,Click Utc Ts,Device Model,Click Cnt
Jane,2019-07-04 12:31:13,INAPP_NEW_SEASON_ALERT,NOTIFICATIONS,GB,,,Stranger Things,GMAIL.COM,,,,0
Jane,2019-07-04 12:31:13,PUSH_NEW_SEASON_ALERT_STRANGER_THINGS_3,PUSH,GB,en-GB,en-GB,Stranger Things,GMAIL.COM,,,APPLE_iPad4-1,0
Jane,2019-07-04 11:07:17,EMAIL_NEW_SEASON_ALERT_STRANGER_THINGS_3,EMAIL,GB,en-GB,en-GB,Stranger Things,GMAIL.COM,,,,0
Jane,2019-07-03 11:36:09,INAPP_NEW_ARRIVALS,NOTIFICATIONS,GB,,,The Last Czars,GMAIL.COM,,,,0
Jane,2019-07-03 11:36:09,PUSH_NEW_ARRIVALS,PUSH,GB,en-GB,en-GB,The Last Czars,GMAIL.COM,,,APPLE_iPad4-1,0
Jane,2019-07-03 09:28:35,EMAIL_NEW_ARRIVALS,EMAIL,GB,en-GB,en-GB,The Last Czars,GMAIL.COM,,,,0
Jane,2019-06-28 15:44:23,EMAIL_NEW_ARRIVALS,EMAIL,GB,en-GB,en-GB,Shaft,GMAIL.COM,,,,0
Jane,2019-06-28 15:44:23,INAPP_NEW_ARRIVALS,NOTIFICATIONS,GB,,,Shaft,GMAIL.COM,,,,0
Jane,2019-06-28 15:44:23,PUSH_NEW_ARRIVALS,PUSH,GB,en-GB,en-GB,Shaft,GMAIL.COM,,,APPLE_iPad4-1,0
Jane,2019-06-26 12:48:06,INAPP_ORIGINALS_PREPROMOTE,NOTIFICATIONS,GB,,,Stranger Things,GMAIL.COM,,,,0
Jane,2019-06-26 12:48:06,PUSH_ORIGINALS_PREPROMOTE_STRANGER_THINGS_3,PUSH,GB,en-GB,en-GB,Stranger Things,GMAIL.COM,,,APPLE_iPad4-1,0
Jane,2019-06-26 12:02:59,EMAIL_ORIGINALS_PREPROMOTE_STRANGER_THINGS_3,EMAIL,GB,en-GB,en-GB,Stranger Things,GMAIL.COM,,,,0
Jane,2019-06-21 12:35:18,INAPP_NEW_SEASON_ALERT,NOTIFICATIONS,GB,,,The Confession Tapes,GMAIL.COM,,,APPLE_iPhone8-4,0
Jane,2019-06-21 12:35:18,PUSH_NEW_SEASON_ALERT,PUSH,GB,en-GB,en-GB,The Confession Tapes,GMAIL.COM,,,APPLE_iPad4-1,0
Jane,2019-06-21 11:42:31,EMAIL_NEW_SEASON_ALERT,EMAIL,GB,en-GB,en-GB,The Confession Tapes,GMAIL.COM,,,,0
Jane,2019-06-20 12:39:08,EMAIL_ORIGINALS_PREPROMOTE,EMAIL,GB,en-GB,en-GB,Exhibit A,GMAIL.COM,,,,0
Jane,2019-06-20 12:39:08,INAPP_ORIGINALS_PREPROMOTE,NOTIFICATIONS,GB,,,Exhibit A,GMAIL.COM,,,APPLE_iPhone8-4,0
Jane,2019-06-20 12:39:08,PUSH_ORIGINALS_PREPROMOTE,PUSH,GB,en-GB,en-GB,Exhibit A,GMAIL.COM,,,APPLE_iPad4-1,0
Jane,2019-06-14 12:48:02,INAPP_NEW_ARRIVALS,NOTIFICATIONS,GB,,,Murder Mystery,GMAIL.COM,,,,0
Jane,2019-06-14 12:48:02,PUSH_NEW_ARRIVALS,PUSH,GB,en-GB,en-GB,Murder Mystery,GMAIL.COM,,,APPLE_iPad4-1,0
Jane,2019-06-14 09:24:39,EMAIL_NEW_ARRIVALS,EMAIL,GB,en-GB,en-GB,Murder Mystery,GMAIL.COM,,,,0
Jane,2019-06-06 12:15:04,INAPP_ORIGINALS_PREPROMOTE,NOTIFICATIONS,GB,,,Murder Mystery,GMAIL.COM,,,,0
Jane,2019-06-06 12:15:04,PUSH_ORIGINALS_PREPROMOTE,PUSH,GB,en-GB,en-GB,Murder Mystery,GMAIL.COM,,,APPLE_iPad4-1,0
