Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Jane,GOOGEUR001-M16XDKXOVF8YCFE71XHIS,Google Chromecast streaming stick,2020-01-31T17:02:14.531Z,2020-08-30T22:42:55.170Z,2020-01-31T17:02:14.531Z,2020-08-30T22:42:55.170Z,2020-01-31T17:02:14.531Z,2020-08-30T22:42:55.170Z,2020-01-31T17:02:14.531Z,2020-08-30T22:42:55.170Z,
Jane,NFXONE-04-TKZNCY94DP66B55NCBE0369Y9P96C36RVFCRC1VPXHK7WYTB3U5,Microsoft Xbox One X,2018-12-26T09:42:56.448Z,2020-07-17T22:01:12.319Z,2019-01-19T22:31:32.930Z,2020-07-17T21:15:13.086Z,2018-12-26T09:42:56.448Z,2020-07-17T22:01:12.319Z,2019-01-19T22:31:32.930Z,2020-07-17T21:15:13.086Z,
Jane,NFAPPL-02-IPHONE8=4-9C6B7FDD77C2BB3CE9C238B0F1BCCB2268D86C67083F7DF346EF70D5CC62D030,iPhone SE,2018-11-25T19:37:38.043Z,2020-06-12T18:34:00.496Z,2020-05-13T13:43:48.788Z,2020-05-13T13:43:48.788Z,2018-11-25T19:37:38.043Z,2020-06-12T18:34:00.496Z,2020-05-13T13:43:48.788Z,2020-05-13T13:43:48.788Z,
Jane,NFXONE-02-1BK1R2WMA0GT8HCDGBB50MYRZ46ZN1C6X7K9EMBNVK76A4B4DFEA,Microsoft Xbox One,2020-04-05T18:41:06.848Z,2020-05-04T14:53:40.341Z,2020-04-09T18:56:44.804Z,2020-05-04T14:53:40.341Z,2020-04-05T18:41:06.848Z,2020-05-04T14:53:40.341Z,2020-04-09T18:56:44.804Z,2020-05-04T14:53:40.341Z,
Jane,NFAPPL-01-IPAD4=1-4E227ED7F5D2A8D995A6060A55E88EB69E874F3E160B795130508CAF5F72D5B6,iPad Air Wi-Fi,2018-10-21T18:08:15.832Z,2020-04-25T18:40:10.564Z,,,2018-10-21T18:08:15.832Z,2020-04-25T18:40:10.564Z,,,
Jane,SONY-CTV140000000000000012897544,Sony CE Sony CE 2014 Core DTV Smart TV,2020-03-07T21:01:15.354Z,2020-03-07T21:01:15.354Z,2020-03-07T21:01:15.354Z,2020-03-07T21:01:15.354Z,2020-03-07T21:01:15.354Z,2020-03-07T21:01:15.354Z,2020-03-07T21:01:15.354Z,2020-03-07T21:01:15.354Z,
Lucy&phil,NFXONE-03-YZT14MGWZ1308UNN3B8JJ16XCZJBKN5HSTNHV0MS98ABNJRYZFJ,Microsoft Xbox One S,2019-02-11T08:10:57.275Z,2020-02-20T19:51:19.664Z,2019-06-11T15:49:49.631Z,2020-02-20T19:51:19.664Z,2019-02-11T08:10:57.275Z,2020-02-20T19:51:19.664Z,2019-06-11T15:49:49.631Z,2020-02-20T19:51:19.664Z,
Jane,NFANDROID2-PRV-SONYANDROIDTV2018M24K-SONY=BRAVIA=4K=GB=ATV3-7506-088A86BD7DEC53A931BA73948DBF66DCF92004EAE99663599105B5359AC81350,Sony Sony Android TV 2018 M2 4K Smart TV,2019-12-31T13:53:23.627Z,2019-12-31T13:53:23.627Z,,,2019-12-31T13:53:23.627Z,2019-12-31T13:53:23.627Z,,,
Jane,NFCDCH-02-F28TXY8JHKNL5GJ85C2Q9J7N92EMEQ,Chrome PC (Cadmium),2018-12-27T05:47:56.948Z,2018-12-27T05:47:56.948Z,2018-12-27T05:47:56.948Z,2018-12-27T05:47:56.948Z,2018-12-27T05:47:56.948Z,2018-12-27T05:47:56.948Z,2018-12-27T05:47:56.948Z,2018-12-27T05:47:56.948Z,
Jane,NFX360-01-014345323713,Microsoft Xbox 360,2018-08-26T12:10:23.182Z,2018-08-26T13:58:21.981Z,,,2018-08-26T12:10:23.182Z,2018-08-26T13:58:21.981Z,,,
Jane,SONY-CTV140000000000000005659076,Sony CE Sony CE 2014 Core DTV Smart TV,,,,,,,,,
Jane,NFCDCH-02-ELCXJM9T1V4AGXCWEC1160EAMJ5V2N,Chrome PC (Cadmium),,,,,,,,,
Jane,NFCDCH-02-EGKFN7RJ91A5DRE113RTYNLKV8QEXG,Chrome PC (Cadmium),,,,,,,,,
Jane,NFCDCH-02-DXPFGPDU4WV6PXA260M24GQ9KQHGDW,Chrome PC (Cadmium),,,,,,,,,
Jane,NFCDCH-02-E99KU2V2JX40P82FATVVEN3Y2J4AJJ,Chrome PC (Cadmium),,,,,,,,,
Jane,NFWII-005-02BB63D9-001AE999918E,Wii Bowser,,,,,,,,,
Jane,NFAPPL-02-IPHONE7=2-EDE9175EA23D28A7CF49845545CCEDB392BC5CDCCF101007D155A283172CB3CE,Apple iPhone 6,,,,,,,,,
Jane,NFCDCH-02-CY24TUP5L7F9NTF4ERX5HVYKE877J9,Chrome PC (Cadmium),,,,,,,,,
Jane,SLW32-D1A1J31PX76NFRQ4GAD3YV3GDD55W4,PC,,,,,,,,,
Jane,NFANDROID1-ASUS=NEXUS=7S-93FE9539FDDC74573FE1C577950FA4853F14DD0A0D772FE26CE48F73C4550445,Mobile,,,,,,,,,
Jane,YVWBT-DT20-F08690FA-5256-4F3A-854C-B9C3021BD3EF,Youview British Telecom DTR-T2100 Set Top Box,,,,,,,,,
Jane,SLW32-U2ZYRN5FZPJENE3U6G7DURLJJW,PC,,,,,,,,,
Jane,NFANDROID1-MOTORXT1039S-FA168B942B08B8C0251992372DF94E9988A7D7EE7DE4D3703053DA4B95990060,Mobile,,,,,,,,,
Jane,NFAPPL-02-IPHONE4=1-CADDFE0E5871D9A89CD9B94A252CCAD77C44E9F5563010A315ED862AB6863418,Apple iPhone 4S,,,,,,,,,
Jane,NFXBOX-01-014345323713,Microsoft Xbox 360,,,,,,,,,
Jane,SLW32-WFEMRMN3RZMJCCLT7EEFZTK9U0,PC,,,,,,,,,
