Subscription Opened Ts,Is Free Trial At Signup,Subscription Closed Ts,Is Customer Initiated Cancel,Signup Plan Category,Signup Max Concurrent Streams,Signup Max Streaming Quality,Plan Change Date,Plan Change Old Category,Plan Change Old Max Concurrent Streams,Plan Change Old Max Streaming Quality,Plan Change New Category,Plan Change New Max Concurrent Streams,Plan Change New Max Streaming Quality,Cancellation Reason
2013-07-28 19:40:08.133+0000,1,,,STREAMING ONLY,2,HD,20181116,STREAMING ONLY,2,HD,STREAMING ONLY,4,UHD,
2013-07-28 19:40:08.133+0000,1,,,STREAMING ONLY,2,HD,20181212,STREAMING ONLY,4,UHD,STREAMING ONLY,2,HD,
