Transaction Date,Service Period Start Date,Service Period End Date,Description,Payment Type,Mop Last 4,Mop Creation Date,Mop Pmt Processor Desc,Item Price Amt,Currency,Tax Amt,Gross Sale Amt,Pmt Txn Type,Pmt Status,Final Invoice Result,Country,Next Billing Date
2017-11-12,,,payment_transaction,CC,,,,,GBP,,7.49,SALE,PENDING,,GB,
2017-11-12,,,payment_transaction,CC,,,,,GBP,,7.49,SALE,APPROVED,,GB,
2017-11-12,2017-11-12,2017-12-11,SUBSCRIPTION,VISA,7964,,PAYMENTECH,7.49,GBP,1.25,7.49,SALE,PENDING,SETTLED,GB,2017-12-12
2017-11-12,2017-11-12,2017-12-11,SUBSCRIPTION,VISA,7964,,PAYMENTECH,7.49,GBP,1.25,7.49,SALE,APPROVED,SETTLED,GB,2017-12-12
2017-10-12,2017-10-12,2017-11-11,SUBSCRIPTION,VISA,7964,,PAYMENTECH,7.49,GBP,1.25,7.49,SALE,PENDING,SETTLED,GB,2017-11-12
2017-10-12,,,payment_transaction,CC,,,,,GBP,,7.49,SALE,PENDING,,GB,
2017-10-12,,,payment_transaction,CC,,,,,GBP,,7.49,SALE,APPROVED,,GB,
2017-10-12,2017-10-12,2017-11-11,SUBSCRIPTION,VISA,7964,,PAYMENTECH,7.49,GBP,1.25,7.49,SALE,APPROVED,SETTLED,GB,2017-11-12
2017-09-12,2017-09-12,2017-10-11,SUBSCRIPTION,VISA,7964,,PAYMENTECH,7.49,GBP,1.25,7.49,SALE,APPROVED,SETTLED,GB,2017-10-12
2017-09-12,,,payment_transaction,CC,,,,,GBP,,7.49,SALE,PENDING,,GB,
2017-09-12,2017-09-12,2017-10-11,SUBSCRIPTION,VISA,7964,,PAYMENTECH,7.49,GBP,1.25,7.49,SALE,PENDING,SETTLED,GB,2017-10-12
2017-09-12,,,payment_transaction,CC,,,,,GBP,,7.49,SALE,APPROVED,,GB,
2017-08-12,2017-08-12,2017-09-11,SUBSCRIPTION,VISA,7964,,PAYMENTECH,7.49,GBP,1.25,7.49,SALE,PENDING,SETTLED,GB,2017-09-12
2017-08-12,,,payment_transaction,CC,,,,,GBP,,7.49,SALE,APPROVED,,GB,
2017-08-12,2017-08-12,2017-09-11,SUBSCRIPTION,VISA,7964,,PAYMENTECH,7.49,GBP,1.25,7.49,SALE,APPROVED,SETTLED,GB,2017-09-12
2017-08-12,,,payment_transaction,CC,,,,,GBP,,7.49,SALE,PENDING,,GB,
2017-07-12,2017-07-12,2017-08-11,SUBSCRIPTION,VISA,7964,,PAYMENTECH,7.49,GBP,1.25,7.49,SALE,PENDING,SETTLED,GB,2017-08-12
2017-07-12,2017-07-12,2017-08-11,SUBSCRIPTION,VISA,7964,,PAYMENTECH,7.49,GBP,1.25,7.49,SALE,APPROVED,SETTLED,GB,2017-08-12
2017-07-12,,,payment_transaction,CC,,,,,GBP,,7.49,SALE,PENDING,,GB,
2017-07-12,,,payment_transaction,CC,,,,,GBP,,7.49,SALE,APPROVED,,GB,
2017-06-12,,,payment_transaction,CC,,,,,GBP,,7.49,SALE,PENDING,,GB,
2017-06-12,2017-06-12,2017-07-11,SUBSCRIPTION,VISA,7964,,PAYMENTECH,7.49,GBP,1.25,7.49,SALE,PENDING,SETTLED,GB,2017-07-12
2017-06-12,2017-06-12,2017-07-11,SUBSCRIPTION,VISA,7964,,PAYMENTECH,7.49,GBP,1.25,7.49,SALE,APPROVED,SETTLED,GB,2017-07-12
2017-06-12,,,payment_transaction,CC,,,,,GBP,,7.49,SALE,APPROVED,,GB,
2017-05-12,2017-05-12,2017-06-11,SUBSCRIPTION,VISA,7964,,PAYMENTECH,7.49,GBP,1.25,7.49,SALE,NEW,SETTLED,GB,2017-06-12
2017-05-12,,,payment_transaction,CC,,,,,GBP,,7.49,SALE,NEW,,GB,
2017-05-12,2017-05-12,2017-06-11,SUBSCRIPTION,VISA,7964,,PAYMENTECH,7.49,GBP,1.25,7.49,SALE,PENDING,SETTLED,GB,2017-06-12
2017-05-12,,,payment_transaction,CC,,,,,GBP,,7.49,SALE,PENDING,,GB,
2017-05-12,,,payment_transaction,CC,,,,,GBP,,7.49,SALE,APPROVED,,GB,
2017-05-12,2017-05-12,2017-06-11,SUBSCRIPTION,VISA,7964,,PAYMENTECH,7.49,GBP,1.25,7.49,SALE,APPROVED,SETTLED,GB,2017-06-12
2017-04-12,2017-04-12,2017-05-11,SUBSCRIPTION,VISA,7964,,PAYMENTECH,7.49,GBP,1.25,7.49,SALE,PENDING,SETTLED,GB,2017-05-12
2017-04-12,,,payment_transaction,CC,,,,,GBP,,7.49,SALE,PENDING,,GB,
2017-04-12,,,payment_transaction,CC,,,,,GBP,,7.49,SALE,APPROVED,,GB,
2017-04-12,2017-04-12,2017-05-11,SUBSCRIPTION,VISA,7964,,PAYMENTECH,7.49,GBP,1.25,7.49,SALE,APPROVED,SETTLED,GB,2017-05-12
2017-03-12,2017-03-12,2017-04-11,SUBSCRIPTION,VISA,7964,,PAYMENTECH,7.49,GBP,1.25,7.49,SALE,PENDING,SETTLED,GB,2017-04-12
2017-03-12,2017-03-12,2017-04-11,SUBSCRIPTION,VISA,7964,,PAYMENTECH,7.49,GBP,1.25,7.49,SALE,APPROVED,SETTLED,GB,2017-04-12
2017-03-12,,,payment_transaction,CC,,,,,GBP,,7.49,SALE,APPROVED,,GB,
2017-03-12,,,payment_transaction,CC,,,,,GBP,,7.49,SALE,PENDING,,GB,
2017-02-12,2017-02-12,2017-03-11,SUBSCRIPTION,VISA,7964,,PAYMENTECH,7.49,GBP,1.25,7.49,SALE,PENDING,SETTLED,GB,2017-03-12
2017-02-12,2017-02-12,2017-03-11,SUBSCRIPTION,VISA,7964,,PAYMENTECH,7.49,GBP,1.25,7.49,SALE,APPROVED,SETTLED,GB,2017-03-12
2017-02-12,,,payment_transaction,CC,,,,,GBP,,7.49,SALE,PENDING,,GB,
2017-02-12,,,payment_transaction,CC,,,,,GBP,,7.49,SALE,APPROVED,,GB,
