Esn,Country,Localized Device Description,Device Description,Ip,Region Code Display Name,Ts
SSTV-JZL1-0000000000000006626012,GB,Samsung 2016 Jazz-L UHD TV Smart TV,Samsung 2016 Jazz-L UHD TV Smart TV,86.190.40.58,Causeway Coast and Glens,2019-06-21T19:14:31.037Z
SSTV-JZL1-0000000000000006626012,GB,Samsung 2016 Jazz-L UHD TV Smart TV,Samsung 2016 Jazz-L UHD TV Smart TV,86.190.40.58,Causeway Coast and Glens,2019-06-09T17:38:30.357Z
SSTV-JZL1-0000000000000006626012,GB,Samsung 2016 Jazz-L UHD TV Smart TV,Samsung 2016 Jazz-L UHD TV Smart TV,109.150.177.93,Dorset,2019-06-02T18:38:03.772Z
YVWBT-DT20-EE505111-5206-4F82-B11E-5EAD7DAFA601,GB,Youview British Telecom DTR-T2100 Set Top Box,Youview British Telecom DTR-T2100 Set Top Box,86.181.25.84,Stockport,2019-06-01T22:16:32.259Z
YVWBT-DT20-EE505111-5206-4F82-B11E-5EAD7DAFA601,GB,Youview British Telecom DTR-T2100 Set Top Box,Youview British Telecom DTR-T2100 Set Top Box,86.181.25.84,Stockport,2019-06-01T22:16:32.249Z
SSTV-JZL1-0000000000000006626012,GB,Samsung 2016 Jazz-L UHD TV Smart TV,Samsung 2016 Jazz-L UHD TV Smart TV,109.150.177.93,Dorset,2019-05-26T19:40:51.406Z
SSTV-JZL1-0000000000000006626012,GB,Samsung 2016 Jazz-L UHD TV Smart TV,Samsung 2016 Jazz-L UHD TV Smart TV,86.134.236.103,Hertfordshire,2019-05-21T19:33:46.361Z
SSTV-JZL1-0000000000000006626012,GB,Samsung 2016 Jazz-L UHD TV Smart TV,Samsung 2016 Jazz-L UHD TV Smart TV,86.134.236.103,Hertfordshire,2019-05-10T17:11:02.417Z
SSTV-JZL1-0000000000000006626012,GB,Samsung 2016 Jazz-L UHD TV Smart TV,Samsung 2016 Jazz-L UHD TV Smart TV,86.159.117.21,Hertfordshire,2019-05-09T18:26:53.128Z
SSTV-JZL1-0000000000000006626012,GB,Samsung 2016 Jazz-L UHD TV Smart TV,Samsung 2016 Jazz-L UHD TV Smart TV,86.159.117.21,Hertfordshire,2019-04-27T19:45:41.808Z
SSTV-JZL1-0000000000000006626012,GB,Samsung 2016 Jazz-L UHD TV Smart TV,Samsung 2016 Jazz-L UHD TV Smart TV,109.150.201.227,Bath and North East Somerset,2019-04-25T20:32:08.294Z
SSTV-JZL1-0000000000000006626012,GB,Samsung 2016 Jazz-L UHD TV Smart TV,Samsung 2016 Jazz-L UHD TV Smart TV,109.150.201.227,Bath and North East Somerset,2019-04-12T19:56:34.341Z
SSTV-JZL1-0000000000000006626012,GB,Samsung 2016 Jazz-L UHD TV Smart TV,Samsung 2016 Jazz-L UHD TV Smart TV,86.154.38.31,Hertfordshire,2019-04-08T18:45:45.198Z
YVWBT-DT20-EE505111-5206-4F82-B11E-5EAD7DAFA601,GB,Youview British Telecom DTR-T2100 Set Top Box,Youview British Telecom DTR-T2100 Set Top Box,165.120.220.132,Kent,2019-04-07T13:38:35.967Z
YVWBT-DT20-EE505111-5206-4F82-B11E-5EAD7DAFA601,GB,Youview British Telecom DTR-T2100 Set Top Box,Youview British Telecom DTR-T2100 Set Top Box,165.120.220.132,Kent,2019-03-31T21:21:08.368Z
YVWBT-DT20-EE505111-5206-4F82-B11E-5EAD7DAFA601,GB,Youview British Telecom DTR-T2100 Set Top Box,Youview British Telecom DTR-T2100 Set Top Box,165.120.222.249,Lancashire,2019-03-31T20:51:03.134Z
