Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Jane,tvui,movieDetails,,,2022-01-08 19:36:48
Jane,tvui,profilesGate,,,2022-01-08 19:36:41
Jane,tvui,browseTitles,,,2022-01-08 19:36:41
Jane,tvui,movieDetails,,,2022-01-08 00:36:04
Jane,tvui,profilesGate,,,2022-01-08 00:36:04
Jane,iOS,movieDetails,,,2022-01-07 22:52:08
Jane,iOS,movieDetails,,,2022-01-07 22:52:08
Jane,iOS,movieDetails,,,2022-01-07 22:52:05
Jane,iOS,movieDetails,,,2022-01-07 22:52:05
Jane,iOS,movieDetails,,,2022-01-07 22:52:05
Jane,iOS,movieDetails,,,2022-01-07 22:52:05
Jane,iOS,movieDetails,,,2022-01-07 22:52:04
Jane,iOS,playback,,,2022-01-07 22:52:04
Jane,iOS,playback,,,2022-01-07 22:51:32
Jane,iOS,postPlay,,,2022-01-07 22:51:32
Jane,iOS,postPlay,,,2022-01-07 22:51:28
Jane,iOS,playback,,,2022-01-07 22:51:28
Jane,iOS,movieDetails,,,2022-01-07 22:50:13
Jane,iOS,movieDetails,,,2022-01-07 22:50:13
Jane,iOS,playback,,,2022-01-07 22:50:13
Jane,iOS,movieDetails,,,2022-01-07 22:50:12
Jane,iOS,search,,,2022-01-07 22:50:11
Jane,iOS,search,,,2022-01-07 22:50:01
Jane,tvui,movieDetails,,,2022-01-07 22:36:07
Jane,tvui,playback,,,2022-01-07 22:36:07
Jane,tvui,playback,,,2022-01-07 22:22:59
Jane,tvui,movieDetails,,,2022-01-07 22:22:59
Jane,tvui,movieDetails,,,2022-01-07 22:22:55
Jane,tvui,profilesGate,,,2022-01-07 22:22:55
Jane,tvui,movieDetails,,,2022-01-07 22:22:47
Jane,tvui,profilesGate,,,2022-01-07 22:22:47
Jane,tvui,movieDetails,,,2022-01-07 22:22:43
Jane,tvui,playback,,,2022-01-07 22:22:43
Jane,tvui,playback,,,2022-01-07 19:59:01
Jane,tvui,movieDetails,,,2022-01-07 19:59:01
Jane,tvui,movieDetails,,,2022-01-07 19:58:59
Jane,tvui,browseTitles,,,2022-01-07 19:58:59
Jane,tvui,browseTitles,,,2022-01-07 19:58:52
Jane,tvui,movieDetails,,,2022-01-07 19:58:52
Jane,tvui,movieDetails,,,2022-01-07 19:58:48
Jane,tvui,playback,,,2022-01-07 19:58:48
Jane,iOS,movieDetails,,,2022-01-07 19:56:15
Jane,iOS,search,,,2022-01-07 19:56:15
Jane,iOS,movieDetails,,,2022-01-07 19:56:09
Jane,tvui,movieDetails,,,2022-01-07 19:07:43
Jane,tvui,playback,,,2022-01-07 19:07:43
Jane,tvui,movieDetails,,,2022-01-07 19:07:41
Jane,tvui,browseTitles,,,2022-01-07 19:07:41
Jane,tvui,screenSaver,,,2022-01-07 19:07:37
