Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
Jane,GB,Xbox_One_X,0,charl,Charlie Wilson's War,view_video_info,title_results,2019-09-23 19:34:54
Jane,GB,iPhone,0,wor,Workin' Moms,view_video_info,title_results,2019-09-16 03:12:45
Jane,GB,iPhone,0,wor,The World's Most Extraordinary Homes,view_video_info,title_results,2019-09-16 03:12:32
Jane,GB,iPhone,0,wor,Workin' Moms,view_video_info,title_results,2019-09-16 03:12:19
Jane,GB,iPhone,0,the let,The Letdown,view_video_info,title_results,2019-09-16 03:11:53
Jane,GB,iPhone,0,fost,Jane The Virgin,view_video_info,title_results,2019-09-16 03:11:18
Jane,GB,Smart TV,0,trav,Jack Whitehall: Travels with My Father,view_video_info,title_results,2019-09-06 20:55:57
Jane,GB,Smart TV,0,trav,Jack Whitehall: Travels with My Father,play,video_info,2019-09-06 20:55:57
Jane,GB,Smart TV,0,form,Formula 1: Drive to Survive,play,video_info,2019-08-16 20:11:59
Jane,GB,Smart TV,0,form,Formula 1: Drive to Survive,view_video_info,title_results,2019-08-16 20:11:59
Jane,GB,Smart TV,0,lia,Pretty Little Liars,play,video_info,2019-08-14 08:33:02
Jane,GB,Smart TV,0,lia,Pretty Little Liars,view_video_info,title_results,2019-08-14 08:33:02
Jane,GB,Smart TV,0,free,The Dawn Wall,play,video_info,2019-08-10 20:51:56
Jane,GB,Smart TV,0,free,The Dawn Wall,view_video_info,title_results,2019-08-10 20:51:56
Jane,GB,Smart TV,0,made ,American Made,view_video_info,title_results,2019-08-03 19:39:28
Jane,GB,Smart TV,0,made ,American Made,play,video_info,2019-08-03 19:39:28
Jane,GB,Smart TV,0,lif,Life in the Doghouse,view_video_info,title_results,2019-06-22 21:17:16
Jane,GB,Smart TV,0,lif,Life in the Doghouse,play,video_info,2019-06-22 21:17:16
Jane,GB,iPhone,0,prett,I Feel Pretty,view_video_info,title_results,2019-04-27 06:43:22
Jane,GB,MVPD STB,0,g,Ant-Man,play,video_info,2019-04-06 21:59:52
Jane,GB,MVPD STB,0,g,Ant-Man,view_video_info,suggestion_title_results,2019-04-06 21:59:35
Jane,GB,MVPD STB,0,g,Guardians of the Galaxy,view_suggestion_info,suggestion_results,2019-04-06 21:58:29
Jane,GB,MVPD STB,0,goo,Good Girls,play,video_info,2019-04-06 21:09:41
Jane,GB,MVPD STB,0,goo,Good Girls,view_video_info,title_results,2019-04-06 21:09:34
Jane,GB,Smart TV,0,broke,Karl Meltzer: Made to Be Broken,view_video_info,title_results,2019-03-12 20:35:23
Jane,GB,Smart TV,0,broke,Karl Meltzer: Made to Be Broken,play,video_info,2019-03-12 20:35:23
Jane,GB,iPhone,0,the daw,The Dawn Wall,view_video_info,title_results,2019-03-12 20:34:13
Jane,GB,Smart TV,0,ver,American Crime Story,play,video_info,2019-02-26 19:52:24
Jane,GB,Smart TV,0,ver,American Crime Story,view_video_info,title_results,2019-02-26 19:52:24
Jane,GB,iPhone,0,abducti,Abducted in Plain Sight,view_video_info,title_results,2019-02-22 19:57:42
Jane,GB,Smart TV,0,ende,Endeavour,view_suggestion_info,suggestion_results,2019-02-10 20:05:41
Jane,GB,iPhone,0,parts,Anthony Bourdain: Parts Unknown,play,video_info,2019-02-10 14:14:59
Jane,GB,iPhone,0,parts,Anthony Bourdain: Parts Unknown,view_video_info,title_results,2019-02-10 14:14:53
Jane,GB,Smart TV,0,sp,Split,play,video_info,2019-02-03 18:42:53
Jane,GB,Smart TV,0,sp,Split,view_video_info,title_results,2019-02-03 18:42:53
Jane,GB,Smart TV,0,rom,ROMA,view_video_info,title_results,2019-01-27 19:16:49
Jane,GB,Smart TV,0,rom,ROMA,play,video_info,2019-01-27 19:16:49
Jane,GB,Smart TV,0,sta,Star Trek: Discovery,play,video_info,2019-01-27 18:17:23
Jane,GB,Smart TV,0,sta,Star Trek: Discovery,view_video_info,title_results,2019-01-27 18:17:23
Jane,GB,Smart TV,0,fy,FYRE: The Greatest Party That Never Happened,view_video_info,title_results,2019-01-18 19:33:25
Jane,GB,Smart TV,0,fy,FYRE: The Greatest Party That Never Happened,play,video_info,2019-01-18 19:33:25
Jane,GB,Smart TV,0,ali,The Alienist,view_video_info,title_results,2018-12-09 19:51:06
Jane,GB,Smart TV,0,ali,The Alienist,play,video_info,2018-12-09 19:51:06
Jane,GB,Smart TV,0,prisn,Prisoners,play,video_info,2018-12-08 19:31:10
Jane,GB,Smart TV,0,prisn,Prisoners,view_video_info,title_results,2018-12-08 19:31:10
Jane,GB,Smart TV,0,stat,State of Play,play,video_info,2018-12-08 19:30:49
Jane,GB,Smart TV,0,stat,State of Play,view_video_info,title_results,2018-12-08 19:30:49
Jane,GB,Smart TV,0,lov,Love Actually,play,video_info,2018-12-08 16:44:59
Jane,GB,Smart TV,0,lov,Love Actually,view_video_info,title_results,2018-12-08 16:44:59
Jane,GB,Smart TV,0,coop,Love the Coopers,view_video_info,title_results,2018-12-08 15:12:23
